period,ward,category,actual_spend_lakh,growth_type,growth_result,formula,status,notes
2024-01,Ward 1 – Kasba,Roads & Pothole Repair,13.3,MoM,NOT_COMPUTED,No prior month available for 2024-01; MoM growth starts from the second observed period,NO_BASE_PERIOD,
2024-02,Ward 1 – Kasba,Roads & Pothole Repair,12.2,MoM,-8.3%,"((12.2 - 13.3) / 13.3) * 100",COMPUTED,
2024-03,Ward 1 – Kasba,Roads & Pothole Repair,12.3,MoM,+0.8%,"((12.3 - 12.2) / 12.2) * 100",COMPUTED,
2024-04,Ward 1 – Kasba,Roads & Pothole Repair,13.4,MoM,+8.9%,"((13.4 - 12.3) / 12.3) * 100",COMPUTED,
2024-05,Ward 1 – Kasba,Roads & Pothole Repair,14.1,MoM,+5.2%,"((14.1 - 13.4) / 13.4) * 100",COMPUTED,
2024-06,Ward 1 – Kasba,Roads & Pothole Repair,14.8,MoM,+5.0%,"((14.8 - 14.1) / 14.1) * 100",COMPUTED,
2024-07,Ward 1 – Kasba,Roads & Pothole Repair,19.7,MoM,+33.1%,"((19.7 - 14.8) / 14.8) * 100",COMPUTED,
2024-08,Ward 1 – Kasba,Roads & Pothole Repair,20.2,MoM,+2.5%,"((20.2 - 19.7) / 19.7) * 100",COMPUTED,
2024-09,Ward 1 – Kasba,Roads & Pothole Repair,20.1,MoM,-0.5%,"((20.1 - 20.2) / 20.2) * 100",COMPUTED,
2024-10,Ward 1 – Kasba,Roads & Pothole Repair,13.1,MoM,-34.8%,"((13.1 - 20.1) / 20.1) * 100",COMPUTED,
2024-11,Ward 1 – Kasba,Roads & Pothole Repair,14.2,MoM,+8.4%,"((14.2 - 13.1) / 13.1) * 100",COMPUTED,
2024-12,Ward 1 – Kasba,Roads & Pothole Repair,12.7,MoM,-10.6%,"((12.7 - 14.2) / 14.2) * 100",COMPUTED,